-15.0,-54.0,-106.0,-34.0,-14.0,-6.0,-9.0,37.0,-6.0,26.0,-29.0,-6.0,9.0,5.0,17.0,10.0,23.0,28.0,2.0,1.0,7.0,2.0,-19.0,51.0,22.0,-9.0,-31.0,-6.0,-6.0,-9.0,-31.0,121.0,6.0,-4.0,37.0,24.0,5.0,1.0,8.0,-22.0,-1.0,3.0,-4.0,3.0,7.0,4.0,-6.0,3.0,-33.0,-45.0,-111.0,-42.0,2.0,-7.0,41.0,3.0,3.0,49.0,86.0,13.0,3.0,7.0,19.0,-16.0,3
21.0,19.0,-69.0,-29.0,-34.0,-7.0,-15.0,19.0,-8.0,-30.0,43.0,13.0,12.0,6.0,-27.0,-48.0,9.0,-21.0,5.0,32.0,-11.0,-2.0,79.0,-51.0,4.0,20.0,40.0,1.0,-6.0,-12.0,-50.0,-81.0,-16.0,32.0,-14.0,-12.0,6.0,12.0,10.0,20.0,-2.0,-4.0,50.0,8.0,-4.0,-2.0,-15.0,-64.0,-5.0,-16.0,-19.0,-20.0,1.0,3.0,-12.0,-23.0,-16.0,-34.0,-14.0,-8.0,4.0,1.0,-15.0,-61.0,3
-6.0,0.0,52.0,41.0,-1.0,6.0,7.0,-92.0,-6.0,-16.0,-63.0,-47.0,5.0,-9.0,-19.0,20.0,-13.0,8.0,29.0,-16.0,7.0,11.0,-5.0,22.0,14.0,-24.0,5.0,16.0,-12.0,1.0,35.0,87.0,6.0,-31.0,-24.0,-28.0,-6.0,9.0,23.0,18.0,-7.0,11.0,-6.0,-3.0,4.0,-3.0,-6.0,6.0,-12.0,-16.0,77.0,50.0,9.0,5.0,-23.0,2.0,16.0,-38.0,-85.0,18.0,0.0,-11.0,68.0,127.0,3
-11.0,-4.0,62.0,-17.0,-17.0,-11.0,-20.0,-80.0,7.0,-1.0,15.0,-7.0,-9.0,-7.0,1.0,-36.0,-9.0,-31.0,-74.0,-21.0,11.0,2.0,-11.0,0.0,-26.0,15.0,40.0,-7.0,-5.0,3.0,-44.0,-90.0,18.0,-59.0,42.0,32.0,8.0,-4.0,-15.0,122.0,-5.0,4.0,16.0,-20.0,-6.0,-13.0,6.0,-107.0,1.0,45.0,22.0,-13.0,2.0,3.0,4.0,6.0,-6.0,-21.0,5.0,-54.0,-15.0,-4.0,-53.0,-85.0,3
-5.0,54.0,-94.0,18.0,-5.0,1.0,97.0,86.0,16.0,-24.0,12.0,8.0,4.0,-5.0,-34.0,-46.0,1.0,-41.0,7.0,25.0,0.0,-4.0,-6.0,12.0,15.0,34.0,1.0,41.0,14.0,5.0,24.0,74.0,1.0,39.0,30.0,-2.0,-3.0,2.0,-39.0,-76.0,14.0,0.0,-57.0,-15.0,-6.0,-10.0,24.0,76.0,5.0,-3.0,53.0,-66.0,-9.0,8.0,26.0,62.0,13.0,19.0,67.0,40.0,12.0,-1.0,2.0,-23.0,3
-1.0,8.0,-9.0,75.0,4.0,-1.0,19.0,-75.0,-14.0,-19.0,15.0,-17.0,-6.0,2.0,-12.0,29.0,5.0,24.0,7.0,29.0,24.0,-17.0,-1.0,-73.0,-2.0,23.0,1.0,-26.0,-9.0,-12.0,-45.0,13.0,-12.0,-8.0,41.0,-15.0,-12.0,5.0,-3.0,-13.0,9.0,7.0,6.0,-1.0,-17.0,-4.0,1.0,77.0,-20.0,-67.0,-25.0,-59.0,-11.0,6.0,-6.0,-97.0,16.0,12.0,80.0,59.0,16.0,8.0,16.0,85.0,3
5.0,52.0,-55.0,-11.0,-9.0,-5.0,-12.0,29.0,5.0,-11.0,85.0,10.0,14.0,4.0,9.0,-18.0,1.0,9.0,1.0,-1.0,-1.0,3.0,30.0,34.0,1.0,-26.0,-19.0,-8.0,-27.0,-6.0,-23.0,-31.0,12.0,52.0,-17.0,-8.0,1.0,-14.0,-40.0,-60.0,14.0,-2.0,35.0,-3.0,4.0,10.0,40.0,127.0,-4.0,11.0,-48.0,-3.0,-2.0,1.0,-11.0,-94.0,-7.0,-4.0,-32.0,8.0,-5.0,-4.0,-7.0,-39.0,3
9.0,33.0,57.0,-22.0,0.0,-6.0,-19.0,24.0,-20.0,-11.0,-78.0,-8.0,7.0,-2.0,0.0,-47.0,6.0,24.0,7.0,33.0,4.0,4.0,32.0,-59.0,-8.0,32.0,73.0,-14.0,2.0,-1.0,-40.0,16.0,10.0,-65.0,-54.0,1.0,-6.0,-8.0,1.0,19.0,-10.0,7.0,-75.0,-27.0,18.0,0.0,-2.0,-18.0,-5.0,10.0,45.0,30.0,-5.0,-7.0,-18.0,18.0,15.0,-25.0,-16.0,6.0,-11.0,2.0,27.0,18.0,3
-5.0,-42.0,-24.0,8.0,19.0,-4.0,-6.0,-7.0,-2.0,-1.0,6.0,17.0,-2.0,10.0,77.0,42.0,1.0,5.0,-14.0,-8.0,-2.0,6.0,10.0,76.0,-11.0,-12.0,-53.0,-40.0,3.0,1.0,33.0,40.0,4.0,-25.0,-51.0,0.0,8.0,-14.0,-54.0,-18.0,8.0,-1.0,-24.0,9.0,-2.0,-5.0,-10.0,-35.0,-21.0,16.0,27.0,18.0,4.0,9.0,-26.0,-128.0,-3.0,22.0,-37.0,-34.0,-16.0,-10.0,-7.0,72.0,3
-4.0,-11.0,80.0,35.0,23.0,17.0,14.0,9.0,6.0,5.0,81.0,17.0,-22.0,-7.0,-27.0,-28.0,15.0,-3.0,-48.0,-22.0,-4.0,4.0,3.0,60.0,1.0,26.0,41.0,30.0,13.0,11.0,23.0,-124.0,-14.0,-12.0,-75.0,-45.0,-10.0,-5.0,-20.0,-56.0,1.0,22.0,94.0,-19.0,-4.0,2.0,-16.0,63.0,-14.0,-19.0,26.0,-38.0,-15.0,-7.0,16.0,30.0,-14.0,-15.0,-11.0,42.0,16.0,2.0,-1.0,-36.0,3
-1.0,19.0,-3.0,-3.0,-2.0,2.0,43.0,-60.0,7.0,24.0,-26.0,36.0,14.0,-4.0,-44.0,23.0,-4.0,2.0,36.0,-24.0,-10.0,-4.0,-15.0,-17.0,-3.0,-43.0,-77.0,-3.0,-3.0,1.0,21.0,59.0,-14.0,-17.0,20.0,21.0,-6.0,-3.0,18.0,-20.0,-10.0,-18.0,-108.0,-27.0,4.0,13.0,38.0,42.0,-10.0,-44.0,4.0,7.0,-24.0,3.0,-32.0,43.0,-1.0,6.0,-53.0,-11.0,-2.0,-17.0,-16.0,-74.0,3
8.0,19.0,88.0,3.0,0.0,6.0,-12.0,-13.0,-2.0,-32.0,-70.0,-8.0,0.0,2.0,3.0,63.0,28.0,13.0,22.0,2.0,8.0,-3.0,22.0,59.0,-9.0,-29.0,-15.0,-10.0,-2.0,1.0,5.0,-26.0,-2.0,0.0,20.0,-13.0,-20.0,-7.0,10.0,-5.0,12.0,35.0,-16.0,11.0,17.0,1.0,-21.0,39.0,-5.0,8.0,-14.0,-30.0,0.0,-6.0,-33.0,-56.0,10.0,29.0,54.0,-12.0,3.0,-3.0,3.0,-47.0,3
-6.0,6.0,77.0,37.0,-9.0,-6.0,-17.0,-31.0,11.0,-5.0,-16.0,4.0,-11.0,-7.0,-17.0,-59.0,11.0,48.0,-8.0,30.0,15.0,4.0,-13.0,-79.0,18.0,-12.0,61.0,-19.0,-25.0,6.0,106.0,66.0,-6.0,20.0,-104.0,-23.0,-2.0,-14.0,-75.0,-93.0,-11.0,-37.0,74.0,29.0,-7.0,-2.0,13.0,-49.0,7.0,-15.0,-28.0,-9.0,1.0,-10.0,13.0,31.0,-6.0,-4.0,-48.0,28.0,26.0,14.0,-27.0,-21.0,3
1.0,25.0,-53.0,-12.0,-35.0,-6.0,3.0,46.0,-13.0,30.0,62.0,-10.0,-3.0,-7.0,12.0,-91.0,9.0,33.0,22.0,38.0,3.0,1.0,-13.0,40.0,-18.0,-28.0,-38.0,-51.0,-2.0,11.0,-32.0,38.0,-2.0,-3.0,111.0,4.0,8.0,-1.0,11.0,83.0,-16.0,-21.0,-19.0,-19.0,-24.0,-9.0,-18.0,-100.0,11.0,27.0,58.0,19.0,0.0,9.0,33.0,40.0,-12.0,0.0,-70.0,-32.0,5.0,-8.0,-67.0,-68.0,3
-3.0,12.0,-31.0,1.0,-4.0,-12.0,5.0,-18.0,4.0,-19.0,67.0,8.0,3.0,2.0,-1.0,-15.0,-24.0,-57.0,-54.0,-14.0,-8.0,-4.0,-3.0,-33.0,11.0,12.0,41.0,12.0,9.0,-7.0,19.0,102.0,19.0,-21.0,15.0,14.0,-8.0,11.0,21.0,38.0,18.0,49.0,50.0,48.0,21.0,-6.0,22.0,53.0,-11.0,-55.0,-87.0,-35.0,-17.0,-12.0,-34.0,-49.0,1.0,21.0,-55.0,-5.0,-3.0,0.0,10.0,-75.0,3
-18.0,18.0,54.0,-24.0,14.0,-5.0,-30.0,-94.0,4.0,-30.0,-114.0,18.0,-32.0,6.0,49.0,101.0,-5.0,-50.0,-28.0,-38.0,-3.0,-2.0,8.0,104.0,16.0,21.0,127.0,38.0,-4.0,-5.0,-3.0,-75.0,-11.0,-6.0,16.0,34.0,20.0,5.0,1.0,63.0,8.0,-37.0,-33.0,-25.0,-2.0,3.0,-15.0,13.0,-8.0,33.0,84.0,-12.0,6.0,5.0,9.0,-40.0,-16.0,-20.0,-33.0,1.0,2.0,-5.0,-12.0,-32.0,3
4.0,4.0,-75.0,-55.0,4.0,5.0,7.0,-5.0,-12.0,-39.0,13.0,26.0,8.0,5.0,-40.0,-56.0,13.0,10.0,8.0,29.0,-16.0,2.0,28.0,-3.0,0.0,24.0,77.0,-10.0,-4.0,6.0,-2.0,28.0,-30.0,-61.0,-128.0,-22.0,-24.0,-14.0,-7.0,-30.0,4.0,39.0,25.0,-51.0,9.0,4.0,0.0,1.0,3.0,26.0,68.0,36.0,4.0,5.0,-3.0,-12.0,15.0,27.0,-44.0,39.0,19.0,2.0,9.0,14.0,3
9.0,15.0,98.0,-8.0,-19.0,-6.0,8.0,3.0,-9.0,12.0,28.0,35.0,9.0,3.0,10.0,-45.0,-4.0,-39.0,-62.0,-29.0,-1.0,-5.0,-23.0,-19.0,27.0,2.0,2.0,22.0,0.0,-9.0,-34.0,101.0,4.0,29.0,61.0,37.0,14.0,-1.0,13.0,-58.0,-14.0,-49.0,-109.0,-52.0,-11.0,0.0,-24.0,-21.0,27.0,26.0,18.0,39.0,22.0,8.0,49.0,18.0,-25.0,-5.0,-58.0,-21.0,-13.0,-4.0,4.0,-37.0,3
4.0,-4.0,-65.0,-3.0,28.0,8.0,-24.0,18.0,-11.0,4.0,74.0,6.0,-7.0,2.0,29.0,35.0,-6.0,46.0,-23.0,-74.0,-2.0,-10.0,0.0,-77.0,-7.0,-26.0,39.0,18.0,-14.0,-16.0,-23.0,-77.0,-8.0,-9.0,14.0,57.0,-16.0,2.0,17.0,-68.0,-14.0,26.0,-18.0,-19.0,22.0,-1.0,-35.0,-42.0,1.0,-1.0,9.0,-11.0,-22.0,9.0,10.0,2.0,-5.0,2.0,29.0,14.0,-2.0,-4.0,-59.0,6.0,3
7.0,25.0,110.0,16.0,7.0,8.0,50.0,80.0,9.0,-2.0,-79.0,2.0,-11.0,-16.0,-52.0,7.0,-7.0,-7.0,-2.0,-31.0,10.0,4.0,16.0,63.0,5.0,-10.0,42.0,-15.0,2.0,3.0,10.0,-32.0,2.0,18.0,-99.0,-48.0,16.0,12.0,18.0,6.0,6.0,1.0,-21.0,20.0,-55.0,-6.0,7.0,23.0,4.0,29.0,41.0,14.0,0.0,0.0,-14.0,-5.0,-8.0,57.0,84.0,-4.0,-13.0,-2.0,-26.0,-84.0,3
-12.0,-70.0,-112.0,-36.0,15.0,-2.0,9.0,77.0,9.0,38.0,115.0,-6.0,13.0,-7.0,-10.0,-93.0,4.0,-1.0,-68.0,17.0,-8.0,1.0,17.0,71.0,4.0,2.0,-40.0,-14.0,-9.0,-5.0,-20.0,-25.0,9.0,24.0,-38.0,-7.0,-10.0,-6.0,-19.0,33.0,-14.0,27.0,18.0,-29.0,4.0,2.0,-10.0,-47.0,5.0,-29.0,53.0,34.0,8.0,-1.0,-31.0,78.0,3.0,11.0,85.0,19.0,9.0,4.0,28.0,-18.0,3
-13.0,-8.0,-8.0,-55.0,-17.0,-5.0,-8.0,-52.0,-6.0,-42.0,-25.0,59.0,6.0,2.0,24.0,-67.0,-9.0,-15.0,13.0,27.0,9.0,-1.0,-27.0,-13.0,10.0,-11.0,-29.0,-8.0,-9.0,4.0,57.0,24.0,10.0,15.0,40.0,49.0,18.0,-13.0,-24.0,67.0,-7.0,4.0,24.0,-28.0,-9.0,-7.0,-11.0,19.0,-3.0,-20.0,-67.0,-95.0,-17.0,-12.0,-15.0,-115.0,13.0,32.0,52.0,90.0,3.0,5.0,59.0,-21.0,3
-1.0,17.0,-4.0,-20.0,-12.0,-1.0,-42.0,-12.0,14.0,35.0,-12.0,33.0,18.0,9.0,14.0,16.0,-19.0,-55.0,-37.0,43.0,37.0,9.0,-26.0,-46.0,5.0,-9.0,21.0,-29.0,-17.0,-12.0,83.0,77.0,1.0,-12.0,-8.0,9.0,-5.0,-6.0,-13.0,-54.0,-9.0,10.0,33.0,-3.0,10.0,10.0,7.0,-23.0,8.0,27.0,18.0,-6.0,-8.0,-8.0,0.0,71.0,-9.0,-31.0,9.0,-16.0,0.0,-4.0,-40.0,-7.0,3
7.0,-2.0,71.0,34.0,11.0,7.0,3.0,-2.0,0.0,5.0,-37.0,-34.0,-17.0,-10.0,-5.0,-9.0,-16.0,13.0,-5.0,-68.0,-12.0,2.0,-7.0,-78.0,-24.0,-86.0,-128.0,12.0,-8.0,13.0,13.0,-24.0,6.0,14.0,15.0,-25.0,-4.0,-18.0,-7.0,-108.0,2.0,-17.0,1.0,39.0,1.0,-5.0,8.0,90.0,-1.0,12.0,59.0,11.0,2.0,-2.0,-6.0,-79.0,-2.0,3.0,-50.0,-63.0,-13.0,-10.0,-74.0,63.0,3
-10.0,-5.0,50.0,15.0,-3.0,3.0,0.0,-15.0,2.0,40.0,38.0,2.0,7.0,5.0,12.0,-30.0,3.0,-35.0,-99.0,-25.0,-23.0,0.0,25.0,-7.0,14.0,67.0,-13.0,40.0,12.0,5.0,-32.0,-118.0,29.0,29.0,52.0,33.0,5.0,-3.0,17.0,59.0,-15.0,-36.0,-74.0,-22.0,-10.0,-19.0,-10.0,-27.0,8.0,60.0,98.0,41.0,-4.0,13.0,31.0,23.0,3.0,-20.0,9.0,-50.0,11.0,3.0,-1.0,-12.0,3
-21.0,-14.0,52.0,35.0,-16.0,-8.0,-12.0,-101.0,1.0,-42.0,-92.0,4.0,5.0,2.0,-10.0,64.0,-1.0,-34.0,29.0,19.0,3.0,-7.0,-9.0,34.0,-15.0,-1.0,-3.0,-19.0,-3.0,2.0,3.0,-39.0,4.0,20.0,-10.0,12.0,18.0,19.0,29.0,31.0,9.0,-2.0,58.0,-31.0,-9.0,-14.0,-21.0,100.0,-12.0,-27.0,-42.0,3.0,-5.0,-5.0,-28.0,-57.0,6.0,-27.0,-31.0,7.0,19.0,-1.0,19.0,84.0,3
